STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : DENIZLI CARDAK ILCE GIDA TARIM VE HAYVANCILIK MUDURLUGU
EARTHQUAKE DATE         : 2019/08/08 11:25:30 (GMT)
EPICENTER COORDINATES   : 37.85100N-29.58400E
EARTHQUAKE DEPTH (km)   : 10.92
EARTHQUAKE MAGNITUDE    : 6.0 Mw
STATION ID              : 2005
STATION COORDINATES     : 37.82446N-29.66813E
STATION ALTITUDE (m)    : 863
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 52709/101159
RECORD TIME             : 08/08/2019 11:25:27.00 (GMT)
NUMBER OF DATA          : 3776
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 423.363542 (E-W) 274.004174 (U-D) 347.534292
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.648653     24.202865    76.601864
   52.230859     32.509573    71.419137
   17.523246     18.136556    58.951278
  -29.737985     10.590767    47.850892
   -4.419468     28.155074   -68.931075
  -19.382926     28.096342   -83.643751
  -60.784970     15.711904   -48.630523
  -54.152909      9.879224  -107.662623
  -12.193689     -1.173085  -157.306407
   43.668172    -20.768590  -108.593762
   63.875947    -18.535207  -117.138778
   21.633721     -4.268740  -128.458241
  -42.200646     23.619961   -35.291037
  -71.168876      2.155680    48.451728
  -69.459665    -54.358732   253.748840
  -34.699037      3.463121   347.534292
   -2.958960     48.363629   182.824509
   -8.872201     27.117645    86.567627
   12.281007     34.437081   -72.241128
   13.059079     17.396946  -161.621404
  -14.105864      4.240673   -59.874881
    0.970121     21.426599  -107.254876
   -3.872947     18.202565   -54.875108
   34.128867    -15.655770    37.909297
  121.062661    -28.372071   -61.790694
  140.359568     -9.308794    -2.654124
  106.710174     17.601729    71.484626
   -7.148437     51.080903    92.114442
  -93.581188     37.313400   135.818737
